track,artist,final_emotion,lyrics,reason
How to Be Eaten by a Woman,The Glitch Mob,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Flaphead,Aphex Twin,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Undoing a Luciferian Towers,Godspeed You! Black Emperor,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"Anthem for No State, Pt. III",Godspeed You! Black Emperor,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
$$ Troopers,Huoratron,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gene Wilder,Chelsea Wolfe,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
RAT,MASS OF THE FERMENTING DREGS,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ultra Marine Blues,Merzbow,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Brutal,NorthBorne,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
She's on Drugs (Seduced by CHAINREACTOR),Alien Vampires,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Road to Lisdoonvarna,Erutan,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Do I Smile?,t+pazolite,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
VII -instrumental-,志方あきこ,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Non Combustible Waste,USAO,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Otho,Alesia,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Bloody Serenade,t+pazolite vs RoughSketch,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Into the Zone,Howard Drossin,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
full throttle,Prodigy,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Saltarello,Corvus Corax,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Higher State of Consciousness,Josh Wink,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hadashi no megami,B'z,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Swamp Thing,Grid,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Underground Chamber,Buckethead,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Phantom - Part II Boys Noize Remix,Justice,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Game Has Changed,Daft Punk,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Canon,Justice,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"Be Comfortable, Creature",Explosions in the Sky,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
We Swarm,The Glitch Mob,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ancestors,Björk,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Set Guitars to Kill,And So I Watch You From Afar,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Son of Mr. Green Genes,Frank Zappa,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ten-Day Interval,Tortoise,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
31 Ghosts IV,Nine Inch Nails,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Is This Power,The Field,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Black Spider,Mogwai,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Truth,Balmorhea,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Earth Departure,Animals as Leaders,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tobiume,Susumu Yokota,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
MeGaLoVania,Toby Fox,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2 Towers,Lightning Bolt,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Saeglópur,Sigur Rós,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
N.A.S.A.,Futurecop!,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Encom Part II,Daft Punk,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Relative Minors,Maybeshewill,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ghosts 'n Stuff (Featuring Rob Swire),deadmau5,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
You Will Be Sad,Washed Out,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Spartanette,Thomas Newman,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
These Are The Armies Of The Tyrannized,Kaki King,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Lentic Catachresis,Autechre,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Daybreak,OVERWERK,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Oh So Insistent,Andrew Bird,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
ZERO Machine,Le Castle Vania,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Fist Fuck,Nine Inch Nails,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Brotsjór,Ólafur Arnalds,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Whiteout,Christophe Beck,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Crumax Rins,Plaid,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
See Me Now,Infected Mushroom,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Inferno Galore,Carpenter Brut,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Keep Your Splendid Silent Sun,Sleepmakeswaves,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mogwai Fear Satan (live),Mogwai,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Beyond Monday,The Glitch Mob,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Minus Two,Broadcast,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mt. Saint Michel Mix+St. Michaels Mount,Aphex Twin,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Marrakech,Hybrid,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Master Assassin,Jesper Kyd,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Feeling Good,Adam Lambert,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ethiobirds,Andrew Bird,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Track C-Group Dancers,Charles Mingus,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Run Londinium,Daniel Pemberton,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Loco,Loving Paris,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Capriccio,Krzysztof Penderecki,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Familiar Taste,Trent Reznor and Atticus Ross,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ashes and Ghost,Akira Yamaoka,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
I Used to Do,Clogs,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
1919,坂本龍一,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mantra del bicho feo,Juana Molina,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Learning How to Act Normal,Hildur Guðnadóttir,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Final Battle,植松伸夫,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Wheel,Miranda Sex Garden,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Larks' Tongues In Aspic Part III,King Crimson,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Symbiote,Eprom,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Heavy Metal,Technical Itch,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Oracle,Hiroki Kikuta,anger,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Eyes to Pearls,Pink Floyd,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Highest Flood,Forest Swords,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hoylake Misst,Forest Swords,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Excavation (Part 1),The Haxan Cloak,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Those Chosen by the Planet,植松伸夫,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Welcome to Rapture,Garry Schyman,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Nightmare,Artie Shaw & His New Music,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Book 1: Page 26,Fantômas,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Wide Window,Thomas Newman,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Grande Hall,Nox Arcana,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Alleyway,Jon Brion,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Fens of Sargath,Midnight Syndicate,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Army of the Dead,Midnight Syndicate,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Relic Uncovered,Midnight Syndicate,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Von Restorff Effect,The Caretaker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Into The Indigo Abyss,Akhlys,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Norman Jayden's Main Theme,Normand Corbeil,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tunnel Of Set I,1349,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pain Game,Fonik,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Shithole,Charlie Clouser,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sterilization,Ennio Morricone,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Battle of the Moors,James Newton Howard,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
On The Corner (Take 4),Miles Davis,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Cinematic Suite,Jason Hayes,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Conjuration,Csejthe,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Main Title (Theme From Jaws),John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sense Of Doubt (1999 Digital Remaster),David Bowie,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Alien,Ben Salisbury & Geoff Barrow,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Icarus Walks,Epik High,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Our Fortress Is Burning...III - The Grain,Agalloch,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Fithos Lusec Wecos Vinosec,Nobuo Uematsu,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2.3 1-Steel-V4lley.Webm,Mac Quayle,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
carry out a plan,Kenji Kawai,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dew [Herbal version],Aes Dana,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
videodrones: questions,"reznor, trent",fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Bittersweet,Marty Friedman,excitement,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Savage,The Shadows,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
on the verge of insanity,Shiro Sagisu,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gwarek2,Aphex Twin,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Betrayal,Akira Yamaoka,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sysyphus: Part IV,Pink Floyd,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mad (Promo Version),Magnetic Man,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Fio da Navalha,Lô Borges,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ends Of The Earth,Dirty Three,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Judas as Black Moth,Current 93,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Taste of Blood,Jozef Van Wissem & SQÜRL,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Waiting for the World to End,Tactical Sekt,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Untitled VII,Sigur Rós,joy,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Defcom 69,Total Science,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
xflood,Autechre,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Zucht Und Hunger,Kreuzweg Ost,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mnemonics III,Pauline Oliveros,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Severe Area,Apocalyptica,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Oppression Freedom/Oppression (Reprise),Winter,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Corona Radiata,Nine Inch Nails,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2 Ghosts I,Nine Inch Nails,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Phoner To Arizona,Gorillaz,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sense of Doubt,David Bowie,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sigur Rós,Sigur Rós,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the House - In a Heartbeat,John Murphy,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Koyaanisqatsi,Philip Glass,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In Dark Trees,Brian Eno,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Loner,Burial,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Weeping Wall,David Bowie,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Know Where,Holy Other,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Uritual,Boards of Canada,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jazz Thieves,Depeche Mode,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Come to Dust,Boards of Canada,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
11 Ghosts II,Nine Inch Nails,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Intriguing Possibilities,Trent Reznor and Atticus Ross,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Iron Sea,Keane,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Motion,Balam Acab,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Heart's All Gone Interlude,blink-182,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dragvandil,Grimes,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the Fog I,Tim Hecker,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Touch,Holy Other,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dark Rift,God Is An Astronaut,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tree,Aphex Twin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Dropsonde,Caspian,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Slow Acid,Calvin Harris,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
32 Ghosts IV,Nine Inch Nails,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Requiem on Frankfort Ave.,Eluvium,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
363N63,King Krule,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Black Noise,Nine Inch Nails,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Burnout Eyess,oOoOO,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Manipulated Living,Michael Andrews,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Old Dreams Waiting to Be Realized,The Knife,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Cellar Door,Michael Andrews,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Searchers,Amon Tobin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Clubbed to Death (Kurayamino Variation),Rob Dougan,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Phloam,Aphex Twin,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
