track,artist,final_emotion,lyrics,reason
The Tangent Universe,Michael Andrews,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Cloudscape,Philip Glass,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Dark Knight,Hans Zimmer & James Newton Howard,joy,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Engine of Ruin,Earth,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Maximum Black,Bohren & der Club of Gore,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Driver Down,Trent Reznor,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hatred of Music II,Tim Hecker,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Dios Alma Perdida,Static-X,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Subsonic,Com Truise,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Hound,Salem,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dub Gussett,Leftfield,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mind If I Cut In?,Hans Zimmer,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Matta,Brian Eno,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Resident Evil Main Title Theme,Marilyn Manson,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In the Air I,Tim Hecker,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Confessions (feat. Leland Whitty),BADBADNOTGOOD,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Theme From Retro,Blur,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pree-Sisters Swallowing a Donkey's Eye,Neutral Milk Hotel,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
3:14 Every Night,Trent Reznor and Atticus Ross,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Afx237 V7,Aphex Twin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Spring Heeled Jack Flies Tonight,Tim Hecker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Don't You Think I Do,James Blake,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Killing Spree,Chromatics,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Suspiria,Goblin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"Killr Punx, Scary Demons",Wavves,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"In This Temple, as in the Hearts of Man, for Whom He Saved the Earth",Sufjan Stevens,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Shitty Chicken Gang Bang,Marilyn Manson,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
alive,Arca,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
God Is Dead,Midtown,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Conduct,The Durutti Column,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Overgrowth,Aperture Science Psychoacoustics Laboratory,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
What Have We Done to Each Other?,Trent Reznor and Atticus Ross,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Áfram Ísland,Sigur Rós,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Leo Needs a New Pair of Shoes,Ben Frost,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Crimson Tears (Epilogue),Katatonia,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Future Umbrella,Shugo Tokumaru,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Infiltration,Trifonic,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
How To Kill,Art of Noise,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Half a Pony,Igorrr,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dans ses cheveux soixante circuits,Fly Pan Am,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Waltzinblack,The Stranglers,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Remodeling,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Christmas Island,Depeche Mode,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Forest Temple,近藤浩治,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Nuit Silencieuse,Kaada/Patton,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
THE DOLL HOUSE I,川井憲次,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Morax,Arcturus,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jill's America,Ennio Morricone,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Alpenrausch,Monolake,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
raw breath of danger,鷺巣詩郎,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Tristram,Matt Uelmen,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gallery of the Invisible Woman,Aidan Baker & Tim Hecker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Whitewater,Tortoise,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Jar,Negură Bunget,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Kryptonite Smokes the Red Line,Isotope 217,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Map Room: Dawn,John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Woolloomooloo,Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dream Of Chant,Kitaro,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
False Memory Syndrome,The Caretaker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Suspiria - Originale,Goblin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Well of the Souls,John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Madrigal Meridian,Tangerine Dream,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Edward's Hands,Sébastien Schuller,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
It Is Raped,Nine Inch Nails,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Trailer 2,Mono & World's End Girlfriend,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dreams of Leaving,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Isabella,Corvus Corax,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Persistent Repetition of Phrases,The Caretaker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mio Pianto,高木正勝,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pharotek,Frank Klepacki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2/1 (2004 Digital Remaster),Brian Eno,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Zoolook (Remix),Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Movement VIII,Vangelis,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Timetakesthetimetimetakes,Peder,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Who Am I?,植松伸夫,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Bells,Ramin Djawadi,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Intro (Season of Glass),여자친구,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Voyager,Clannad,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
2/2 (2004 Digital Remaster),Brian Eno,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Water of Mystery,Kitaro,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Laurie Knows,John Carpenter,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Oxygene Part 5,Jean Michel Jarre,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Despair,Ennio Morricone,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Self Esteem Fund,Valve,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Creeping Shadows,鷺巣詩郎,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gehn's Theme,Robyn Miller,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pomme Fritz (meat `n veg),The Orb,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Midna's Theme,近藤浩治,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mephisto,Matt Uelmen,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Father,Aphex Twin,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
A Day by Atmosphere Supreme,Nujabes,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Unsaid,Little People,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
I Wanna Go Back,Onra,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Magdalene,Akira Yamaoka,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dungeon,川井憲次,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Little Bit of Soul,DJ Format,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Pura-Vida,Guts,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sleep Dirt,Frank Zappa,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sand,Allan Holdsworth,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
React,Robert Rich & Ian Boddy,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
In That Quiet Earth',Genesis,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
spaceship instrumental,Kanye West,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
With Rainy Eyes (feat Emancipator),Nujabes,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Van Den Budenmayer - Funeral Music (winds),Zbigniew Preisner,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Suspiria (Daemonia version),Goblin,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
15 Ghosts II,Nine Inch Nails,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"Danse macabre in G minor, Op. 40",Camille Saint-Saëns,reflective,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Hands of Small Children,Marilyn Manson,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ensurance Trap,Michael Andrews,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ascension,Dead Can Dance,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Halloween Theme - Main Title,John Carpenter,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Great Pumpkin Waltz,Vince Guaraldi Trio,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Overture,DeVotchKa,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Haunting & Heartbreaking,Angelo Badalamenti,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Silent Heaven,Akira Yamaoka,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Innocent Moon,Akira Yamaoka,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Vampire Hunters,Wojciech Kilar,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Profondo Rosso,Goblin,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Spiders,John Williams,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Introduction,Danny Elfman,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Halloween Theme,John Carpenter,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Gnossienne No.1,Erik Satie,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Fever Chill,Akira Yamaoka,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Phantom,The Residents,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Hunt Builds,Wojciech Kilar,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Arrival on Dagobah,John Williams,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Abyssinia,Patti Smith,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Night on Bald Mountain,Modest Petrovich Mussorgsky,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dracula - The Beginning,Wojciech Kilar,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
No Body,Anna von Hausswolff,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Wise Blood,Soulsavers,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Mina's Photo,Wojciech Kilar,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
World of Goo Beginning,Kyle Gabler,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sakrileg,sToa,neutral,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
enemy unseen,鷺巣詩郎,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Twilight Zone,The Ventures,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Failure33 Object,John Frusciante,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Eldritch Rites,Nox Arcana,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dave the Butcher [instrumental],Tom Waits,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Stars Align,Nox Arcana,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Fire And Brimstone,Chris Vrenna,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Reveil en sursaut d'un rêve,Cinema Strange,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Darkness Descends,Midnight Syndicate,sadness,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Rat Salad (Alternative Mix),Black Sabbath,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Lady Dada's Nightmare,MGMT,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
March of the Meanies,The Beatles,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Ribs Out,Fuck Buttons,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Aunt Eggma Blowtorch,Neutral Milk Hotel,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
"I'm Sam Bell, Too...",Clint Mansell,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Onions Wrapped in Rubber,Tortoise,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Zala,Plaid,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Maternal Heart,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Icct Hedral (Philip Glass Orchestration),Aphex Twin,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Meeting Tom Riddle,John Williams,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
L'esprit des Gabriel,Hans Zimmer,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Last Mariachi,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Threnody for the Victims of Hiroshima,Krzysztof Penderecki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Sigur 9B (untitled),Sigur Rós,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Not Tomorrow 2,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Black Star,Lustmord,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
My Heaven,Akira Yamaoka,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Polymorphia,Krzysztof Penderecki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Comb of the Winds,Enya,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Eva-00,鷺巣詩郎,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Valkyrie: Ride of the Valkyries,London Philharmonic Orchestra & David Parry,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
De natura sonoris No. 1,Krzysztof Penderecki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
De natura sonoris No. 2,Krzysztof Penderecki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Dénouement,John 5,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Atomised,Forss,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Awakening of Jacob,Krzysztof Penderecki,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Story...,Danny Elfman,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
95,The Berzerker,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Shape Lurks,John Carpenter,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Last Breath,Normand Corbeil,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Invierno,Natalia Lafourcade,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Shape Stalks,John Carpenter,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
The Box (untitled version 1),Orbital,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
Larks' Tongues In Aspic (Part 1),King Crimson,fear,LYRICS_NOT_FOUND,LYRICS_NOT_FOUND
